Area, AMOEBA, Value
568, -2, 18.6
569, -2, 22.6
570, -2, 25.9
571, 258, 38.3
572, 0, 36.2
573, -66, 31.0
574, 1, 43.6
575, 1, 40.8
576, 258, 42.5
577, 258, 39.3
578, -129, 30.0
579, 258, 38.7
580, 0, 37.5
581, 1, 44.0
582, 1, 39.8
583, 0, 36.6
584, 1, 47.1
585, 0, 33.9
586, 1, 45.6
587, 1, 42.4
588, 1, 41.4
589, 258, 42.9
590, 1, 49.1
591, 258, 38.4
592, 0, 35.0
593, 0, 35.9
594, 0, 35.5
595, 92, 39.7
596, 0, 40.8
597, 0, 36.5
598, 258, 40.4
599, 0, 33.8
600, 0, 37.4
601, 1, 39.6
602, 1, 41.3
603, 1, 39.8
604, 0, 36.3
605, 258, 41.7
606, 1, 39.7
607, 1, 41.3
608, 258, 41.5
609, 258, 38.8
610, 258, 38.0
611, -147, 29.4
612, 0, 35.4
613, 258, 39.4
614, 1, 39.7
615, 188, 40.8
616, 188, 40.3
617, 1, 42.8
618, 0, 37.6
619, 0, 36.3
620, 0, 36.4
621, 258, 39.1
622, 0, 35.9
623, 0, 34.9
624, 258, 38.2
625, 258, 39.0
626, 258, 38.4
627, 258, 39.1
628, 258, 38.1
629, 0, 37.5
630, 0, 34.2
631, 12, 45.0
632, 258, 39.6
633, -11, 32.8
634, 0, 34.4
635, 0, 38.3
636, 258, 38.4
637, 258, 39.0
638, 0, 30.5
639, 1, 46.3
640, 1, 45.8
641, 1, 40.4
642, 0, 36.3
643, 1, 53.0
644, 1, 45.1
645, 1, 41.7
646, 0, 33.5
647, 258, 39.0
648, 92, 40.0
649, -11, 29.8
650, 0, 31.9
651, 258, 42.3
652, 92, 41.7
653, 92, 39.8
654, 258, 38.7
655, -1, 33.6
656, -1, 33.8
657, -7, 26.9
658, -12, 31.1
659, -85, 33.7
660, 0, 35.5
661, 0, 34.4
662, 0, 37.5
663, -44, 32.0
664, 0, 36.2
665, 0, 35.6
666, -44, 32.1
667, 44, 42.1
668, -44, 31.5
669, -44, 26.2
670, 258, 38.5
671, 0, 37.0
672, 0, 36.4
673, 258, 42.1
674, 0, 37.2
675, 1, 44.0
676, 1, 40.7
677, 1, 42.6
678, 258, 37.9
679, 1, 42.3
680, 1, 43.6
681, -1, 29.0
682, 0, 35.6
683, 1, 43.3
684, -7, 31.2
685, 0, 34.3
686, 0, 37.7
687, 1, 44.6
688, 1, 41.8
689, 258, 38.4
690, 1, 40.6
691, 1, 40.6
692, 1, 40.5
693, 1, 46.4
694, -7, 29.5
695, 0, 33.9
696, 258, 42.3
697, -7, 30.2
698, -7, 25.8
699, 0, 31.2
700, 0, 34.3
701, 0, 31.4
702, 0, 36.7
703, 258, 39.3
704, 1, 43.6
705, 92, 39.6
706, 0, 37.3
707, -11, 29.0
708, 92, 42.3
709, 0, 36.8
710, -7, 29.3
711, -7, 30.7
712, 0, 38.8
713, -7, 21.2
714, -7, 24.7
715, 0, 36.5
716, 0, 36.0
717, 0, 36.0
718, -44, 31.5
719, 44, 43.4
720, -44, 34.1
721, 0, 37.7
722, 1, 42.2
723, 0, 37.8
724, 1, 43.7
725, 0, 36.9
726, -7, 27.6
727, 1, 44.8
728, -44, 31.6
729, 1, 40.4
730, 1, 40.0
731, 258, 40.3
732, 12, 43.3
733, 258, 39.3
734, 258, 41.2
735, 188, 44.2
736, -2, 30.9
737, 0, 35.0
738, -7, 32.7
739, 1, 40.7
740, 1, 41.7
741, 1, 44.6
742, 0, 34.5
743, 0, 38.6
744, -148, 29.4
745, 0, 35.5
746, 0, 37.2
747, 0, 34.7
748, 0, 35.0
749, 1, 44.5
750, 1, 41.2
751, 1, 41.0
752, 1, 41.3
753, -1, 32.4
754, -2, 24.9
755, -2, 22.7
756, -2, 30.3
757, -2, 26.2
758, -2, 26.8
759, -66, 34.8
760, 258, 39.1
761, 0, 34.5
762, 0, 37.0
763, 44, 42.5
764, 258, 40.2
765, 0, 37.2
766, 44, 42.7
767, -269, 34.2
768, 44, 43.0
769, 258, 39.4
770, 258, 38.2
771, 258, 38.6
